ATGC#,genomes,numgenomes,superkingdom,phylum,order,commontaxa,COGorgs,mediandnmin,mediandnmax,mediandsmin,mediandsmax,mediandndsmin,mediandndsmax,genomesizemin,genomesizemax,genomesizeavg,numgenesmin,numgenesmax,numgenesavg,gcmin,gcmax,gcavg
ATGC018,Bacillus licheniformis/paralicheniformis,5,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[1385] {order} Bacillales,[653685] {species group} Bacillus subtilis group,,0.0,0.0,0.0,0.2,0.1,0.2,4.2,4.4,4.3,4129,4165,4153,45.9,46.2,46.0
ATGC019,Bacillus megaterium,5,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[1385] {order} Bacillales,[1404] {species} Bacillus megaterium,,0.0,0.0,0.0,0.1,0.1,0.2,5.1,5.7,5.3,4776,5532,5097,37.8,38.2,38.0
ATGC020,Bacillus coagulans,5,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[1385] {order} Bacillales,[1398] {species} Bacillus coagulans,,0.0,0.0,0.0,0.1,0.1,0.7,3.1,3.7,3.5,2852,3366,3179,46.2,47.3,46.6
ATGC021,Chlamydia trachomatis/muridarum,73,[2] {superkingdom} Bacteria,[204428] {phylum} Chlamydiae,[51291] {order} Chlamydiales,[810] {genus} Chlamydia,Chltra,0.0,0.1,0.0,1.2,0.1,1.1,1.0,1.1,1.0,880,935,904,40.3,41.5,41.2
ATGC022,Chlamydia/Chlamydophila,20,[2] {superkingdom} Bacteria,[204428] {phylum} Chlamydiae,[51291] {order} Chlamydiales,[810] {genus} Chlamydia,,0.0,0.1,0.0,2.8,0.1,0.8,1.0,1.2,1.2,836,979,945,36.9,39.9,39.0
ATGC023,Chlamydia/Chlamydophila #2,10,[2] {superkingdom} Bacteria,[204428] {phylum} Chlamydiae,[51291] {order} Chlamydiales,[83558] {species} Chlamydia pneumoniae,Chlpne,0.0,0.0,0.0,0.0,0.5,0.7,1.2,1.2,1.2,1014,1061,1051,40.5,40.6,40.6
ATGC024,Mycobacterium tuberculosis/bovis/africanum/canettii,52,[2] {superkingdom} Bacteria,[201174] {phylum} Actinobacteria,[85007] {order} Corynebacteriales,[77643] {species group} Mycobacterium tuberculosis complex,Myctub,0.0,0.0,0.0,0.0,0.2,1.1,4.3,4.5,4.4,3819,4069,3984,65.6,65.7,65.6
ATGC025,Mycobacterium avium/intracellulare/MOTT36Y/yongonense/indicus,16,[2] {superkingdom} Bacteria,[201174] {phylum} Actinobacteria,[85007] {order} Corynebacteriales,[1763] {genus} Mycobacterium,,0.0,0.0,0.0,0.9,0.1,0.5,4.8,5.7,5.2,4153,5056,4673,67.9,69.3,68.7
ATGC026,Mycobacterium marinum/liflandii,3,[2] {superkingdom} Bacteria,[201174] {phylum} Actinobacteria,[85007] {order} Corynebacteriales,[1763] {genus} Mycobacterium,,0.0,0.0,0.0,0.0,0.2,0.2,6.4,6.7,6.5,4912,5426,5188,65.5,65.7,65.6
ATGC027,Mycobacterium MCS/JLS/KMS,3,[2] {superkingdom} Bacteria,[201174] {phylum} Actinobacteria,[85007] {order} Corynebacteriales,[1763] {genus} Mycobacterium,,0.0,0.0,0.0,0.0,0.1,0.5,5.9,6.3,6.1,5578,5901,5712,68.2,68.4,68.3
ATGC028,Mycobacterium gilvum/vanbaalenii,3,[2] {superkingdom} Bacteria,[201174] {phylum} Actinobacteria,[85007] {order} Corynebacteriales,[1763] {genus} Mycobacterium,,0.0,0.1,0.0,1.7,0.0,0.1,5.8,6.5,6.1,5292,5963,5588,67.7,67.8,67.8
ATGC029,(missing),0,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ATGC030,Mycobacterium abscessus/immunogenum,25,[2] {superkingdom} Bacteria,[201174] {phylum} Actinobacteria,[85007] {order} Corynebacteriales,[670516] {species group} Mycobacterium chelonae group,,0.0,0.0,0.0,0.9,0.0,0.8,4.5,5.6,5.0,4297,5333,4866,64.0,64.5,64.2
ATGC031,Mycobacterium smegmatis/goodii,7,[2] {superkingdom} Bacteria,[201174] {phylum} Actinobacteria,[85007] {order} Corynebacteriales,[1763] {genus} Mycobacterium,,0.0,0.0,0.0,0.7,0.0,0.5,7.0,7.1,7.0,6459,6717,6626,67.3,67.6,67.4
ATGC032,Mycoplasma gallisepticum,11,[2] {superkingdom} Bacteria,[544448] {phylum} Tenericutes,[2085] {order} Mycoplasmatales,[2096] {species} Mycoplasma gallisepticum,,0.0,0.0,0.0,0.0,0.2,1.4,0.9,1.0,1.0,706,747,727,31.4,31.6,31.6
ATGC033,Mycoplasma genitalium,5,[2] {superkingdom} Bacteria,[544448] {phylum} Tenericutes,[2085] {order} Mycoplasmatales,[2097] {species} Mycoplasma genitalium,Mycgen,0.0,0.0,0.0,0.0,0.3,0.4,0.6,0.6,0.6,454,507,484,31.7,31.7,31.7
ATGC034,Mycoplasma pneumoniae,21,[2] {superkingdom} Bacteria,[544448] {phylum} Tenericutes,[2085] {order} Mycoplasmatales,[2104] {species} Mycoplasma pneumoniae,Mycpne,0.0,0.0,0.0,0.0,0.2,2.7,0.8,0.9,0.8,684,746,708,39.9,40.0,40.0
ATGC035,Mycoplasma mycoides/capricolum/leachii,17,[2] {superkingdom} Bacteria,[544448] {phylum} Tenericutes,[2085] {order} Mycoplasmatales,[656088] {species group} Mycoplasma mycoides group,,0.0,0.0,0.0,0.8,0.1,0.8,1.0,1.2,1.1,700,1017,860,23.7,24.0,23.9
ATGC036,Mycoplasma hyopneumoniae,6,[2] {superkingdom} Bacteria,[544448] {phylum} Tenericutes,[2085] {order} Mycoplasmatales,[2099] {species} Mycoplasma hyopneumoniae,,0.0,0.0,0.0,0.0,0.2,0.5,0.9,0.9,0.9,648,689,670,28.5,28.6,28.5
ATGC037,Mycoplasma bovis/agalactiae,10,[2] {superkingdom} Bacteria,[544448] {phylum} Tenericutes,[2085] {order} Mycoplasmatales,[2093] {genus} Mycoplasma,,0.0,0.1,0.0,2.0,0.0,0.6,0.9,1.0,1.0,666,791,743,29.3,29.7,29.4
ATGC038,Mycoplasma hyorhinis,5,[2] {superkingdom} Bacteria,[544448] {phylum} Tenericutes,[2085] {order} Mycoplasmatales,[2100] {species} Mycoplasma hyorhinis,,0.0,0.0,0.0,0.0,0.3,0.6,0.8,0.8,0.8,672,714,690,25.9,25.9,25.9
ATGC039,Ureaplasma parvum/urealyticum,4,[2] {superkingdom} Bacteria,[544448] {phylum} Tenericutes,[2085] {order} Mycoplasmatales,[2129] {genus} Ureaplasma,Urepar,0.0,0.0,0.0,1.3,0.0,0.9,0.7,0.9,0.8,560,644,599,25.5,25.8,25.6
ATGC040,Mycoplasma fermentans,2,[2] {superkingdom} Bacteria,[544448] {phylum} Tenericutes,[2085] {order} Mycoplasmatales,[2115] {species} Mycoplasma fermentans,,0.0,0.0,0.0,0.0,0.2,0.2,1.0,1.1,1.0,781,945,863,26.9,26.9,26.9
ATGC041,Mycoplasma haemofelis,2,[2] {superkingdom} Bacteria,[544448] {phylum} Tenericutes,[2085] {order} Mycoplasmatales,[29501] {species} Mycoplasma haemofelis,,0.0,0.0,0.0,0.0,0.3,0.3,1.1,1.2,1.2,1487,1495,1491,38.8,38.9,38.8
ATGC042,Mycoplasma putrefaciens,2,[2] {superkingdom} Bacteria,[544448] {phylum} Tenericutes,[2085] {order} Mycoplasmatales,[2123] {species} Mycoplasma putrefaciens,,0.0,0.0,0.0,0.0,0.2,0.2,0.8,0.9,0.8,654,678,666,26.9,27.0,26.9
ATGC043,Mycoplasma suis,2,[2] {superkingdom} Bacteria,[544448] {phylum} Tenericutes,[2085] {order} Mycoplasmatales,[57372] {species} Mycoplasma suis,,0.0,0.0,0.0,0.0,0.2,0.2,0.7,0.7,0.7,775,814,794,31.1,31.1,31.1
ATGC044,Rickettsia prowazekii/rickettsii/typhi/canadensis/rhipicephali/slovaca/amblyommii/akari/montanensis/parkeri/helvetica/japonica/massiliae/sibirica/philipii/heilongjiangensis/conorii/australis/africae/felis,42,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[766] {order} Rickettsiales,[780] {genus} Rickettsia,Riccon,0.0,0.1,0.0,0.8,0.1,0.9,1.1,1.6,1.2,817,1302,1078,28.9,32.6,31.4
ATGC045,Ehrlichia chaffeensis/ruminantium/muris/canis/HF,14,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[766] {order} Rickettsiales,[943] {genus} Ehrlichia,Ehrcha,0.0,0.1,0.0,2.7,0.1,0.6,1.1,1.5,1.3,855,925,884,27.5,30.1,29.4
ATGC046,Wolbachia endosymbiont/wRi,3,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[766] {order} Rickettsiales,[953] {genus} Wolbachia,Wolwri,0.0,0.0,0.0,0.0,0.2,0.2,1.3,1.4,1.3,1073,1248,1132,35.1,35.2,35.2
ATGC047,Anaplasma marginale/centrale,3,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[766] {order} Rickettsiales,[768] {genus} Anaplasma,,0.0,0.0,0.0,0.6,0.1,0.4,1.2,1.2,1.2,937,942,939,49.8,50.0,49.9
ATGC048,Neorickettsia sennetsu/risticii,2,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[766] {order} Rickettsiales,[33993] {genus} Neorickettsia,Neosen,0.0,0.0,0.2,0.2,0.2,0.2,0.9,0.9,0.9,753,759,756,41.1,41.3,41.2
ATGC049,Rickettsia bellii,2,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[766] {order} Rickettsiales,[33990] {species} Rickettsia bellii,,0.0,0.0,0.0,0.0,0.5,0.5,1.5,1.5,1.5,1372,1376,1374,31.6,31.6,31.6
ATGC050,Helicobacter pylori/cetorum/acinonychis,79,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[213849] {order} Campylobacterales,[209] {genus} Helicobacter,Helpyl,0.0,0.1,0.0,0.9,0.1,1.2,1.5,1.8,1.6,1360,1623,1457,35.5,39.3,38.8
ATGC051,Helicobacter cinaedi,2,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[213849] {order} Campylobacterales,[213] {species} Helicobacter cinaedi,,0.0,0.0,0.0,0.0,0.4,0.4,2.1,2.2,2.2,1961,2200,2080,38.3,38.6,38.5
ATGC052,Staphylococcus aureus/argenteus,109,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[1385] {order} Bacillales,[1279] {genus} Staphylococcus,Staaur,0.0,0.0,0.0,1.0,0.0,1.4,2.7,3.1,2.8,2414,3041,2718,32.4,33.0,32.8
ATGC053,Staphylococcus epidermidis,4,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[1385] {order} Bacillales,[1282] {species} Staphylococcus epidermidis,,0.0,0.0,0.0,0.0,0.1,0.3,2.5,2.6,2.6,2248,2482,2361,32.0,32.1,32.0
ATGC054,Staphylococcus lugdunensis,4,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[1385] {order} Bacillales,[28035] {species} Staphylococcus lugdunensis,,0.0,0.0,0.0,0.0,0.2,0.4,2.6,2.7,2.6,2331,2410,2359,33.8,33.9,33.8
ATGC055,Staphylococcus pseudintermedius,3,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[1385] {order} Bacillales,[283734] {species} Staphylococcus pseudintermedius,,0.0,0.0,0.0,0.0,0.3,0.3,2.6,2.8,2.7,2275,2543,2394,37.4,37.6,37.5
ATGC056,Lactobacillus casei/rhamnosus/paracasei,22,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186826] {order} Lactobacillales,[1578] {genus} Lactobacillus,,0.0,0.1,0.0,2.3,0.0,1.6,2.9,3.1,3.0,2588,2996,2764,46.2,47.9,46.6
ATGC057,Lactobacillus plantarum/paraplantarum,16,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186826] {order} Lactobacillales,[1578] {genus} Lactobacillus,Lacpla,0.0,0.0,0.0,0.8,0.0,0.4,3.0,3.4,3.3,2600,3063,2895,44.0,44.9,44.5
ATGC058,Lactobacillus acidophilus/amylovorus,5,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186826] {order} Lactobacillales,[1578] {genus} Lactobacillus,,0.0,0.1,0.0,2.0,0.0,0.6,2.0,2.1,2.0,1815,1923,1850,34.7,38.1,36.0
ATGC059,Lactobacillus johnsonii/gasseri,6,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186826] {order} Lactobacillales,[1578] {genus} Lactobacillus,,0.0,0.0,0.1,1.5,0.0,0.1,1.8,2.0,1.9,1573,1781,1701,34.4,35.3,34.7
ATGC060,Lactobacillus reuteri,7,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186826] {order} Lactobacillales,[1598] {species} Lactobacillus reuteri,,0.0,0.0,0.0,0.1,0.1,0.4,2.0,2.3,2.1,1874,2116,1942,38.7,39.0,38.9
ATGC061,Lactobacillus delbrueckii/acidophilus,5,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186826] {order} Lactobacillales,[1578] {genus} Lactobacillus,,0.0,0.0,0.0,0.0,0.3,0.5,1.9,2.1,1.9,1628,1870,1681,49.5,49.7,49.7
ATGC062,Lactobacillus fermentum/oris,5,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186826] {order} Lactobacillales,[1578] {genus} Lactobacillus,,0.0,0.0,0.0,0.0,0.2,0.5,2.1,3.2,2.4,1647,2868,2087,50.6,51.7,51.3
ATGC063,Lactobacillus salivarius,4,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186826] {order} Lactobacillales,[1624] {species} Lactobacillus salivarius,,0.0,0.0,0.0,0.1,0.1,0.1,2.0,2.3,2.1,1819,2108,1964,33.0,33.0,33.0
ATGC064,Lactobacillus buchneri,2,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186826] {order} Lactobacillales,[1581] {species} Lactobacillus buchneri,,0.0,0.0,0.1,0.1,0.1,0.1,2.6,2.6,2.6,2347,2388,2367,44.2,44.2,44.2
ATGC065,Lactobacillus brevis,2,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186826] {order} Lactobacillales,[1580] {species} Lactobacillus brevis,,0.0,0.0,0.0,0.0,0.2,0.2,2.3,2.6,2.5,2174,2458,2316,45.6,46.1,45.9
ATGC066,Lactobacillus helveticus,8,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186826] {order} Lactobacillales,[1587] {species} Lactobacillus helveticus,,0.0,0.0,0.0,0.0,0.4,0.6,1.9,2.2,2.1,1570,1913,1803,36.8,37.1,36.9
ATGC067,Corynebacterium pseudotuberculosis/ulcerans,45,[2] {superkingdom} Bacteria,[201174] {phylum} Actinobacteria,[85007] {order} Corynebacteriales,[1716] {genus} Corynebacterium,,0.0,0.0,0.0,0.7,0.1,1.7,2.3,2.6,2.4,1850,2276,2014,52.1,53.4,52.4
ATGC068,Corynebacterium diphtheriae,13,[2] {superkingdom} Bacteria,[201174] {phylum} Actinobacteria,[85007] {order} Corynebacteriales,[1717] {species} Corynebacterium diphtheriae,,0.0,0.0,0.0,0.0,0.2,0.6,2.4,2.5,2.5,2100,2258,2182,53.4,53.7,53.5
ATGC069,Corynebacterium/Brevibacterium,14,[2] {superkingdom} Bacteria,[201174] {phylum} Actinobacteria,[85007] {order} Corynebacteriales,[1716] {genus} Corynebacterium,Corglu,0.0,0.1,0.0,2.9,0.0,1.6,2.9,3.4,3.2,2570,3010,2864,52.5,55.3,54.0
ATGC070,Corynebacterium urealyticum,2,[2] {superkingdom} Bacteria,[201174] {phylum} Actinobacteria,[85007] {order} Corynebacteriales,[43771] {species} Corynebacterium urealyticum,,0.0,0.0,0.0,0.0,0.1,0.1,2.3,2.4,2.3,1880,1940,1910,64.2,64.2,64.2
ATGC071,Pseudomonas putida/monteilii/VLB120/mosselii/URMO17WK12/CCOS/entomophila/parafulva/plecoglossicida/FGI182,25,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[72274] {order} Pseudomonadales,[286] {genus} Pseudomonas,,0.0,0.1,0.0,1.6,0.0,0.6,4.8,6.9,6.0,4169,6157,5259,61.4,64.4,62.5
ATGC072,Pseudomonas aeruginosa,57,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[72274] {order} Pseudomonadales,[287] {species} Pseudomonas aeruginosa,Pseaer,0.0,0.0,0.0,0.4,0.0,0.5,6.3,7.5,6.6,5563,6901,5982,65.6,66.6,66.2
ATGC073,Pseudomonas stutzeri/balearica,8,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[72274] {order} Pseudomonadales,[136846] {species group} Pseudomonas stutzeri group,,0.0,0.1,0.0,1.7,0.0,0.1,4.4,4.8,4.6,3923,4364,4135,62.3,64.7,63.5
ATGC074,Azotobacter vinelandii/chroococcum,4,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[72274] {order} Pseudomonadales,[352] {genus} Azotobacter,Azovin,0.0,0.0,0.0,0.6,0.1,0.1,5.2,5.4,5.3,4425,4649,4583,65.6,65.7,65.7
ATGC075,Pseudomonas syringae/cichorii/savastanoi,10,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[72274] {order} Pseudomonadales,[136849] {species group} Pseudomonas syringae group,,0.0,0.1,0.0,1.2,0.0,0.2,5.8,6.7,6.1,4944,5760,5156,57.9,59.3,58.7
ATGC076,Pseudomonas fluorescens/trivialis/poae/azotoformans/TKP,11,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[72274] {order} Pseudomonadales,[286] {genus} Pseudomonas,,0.0,0.0,0.0,1.0,0.0,0.3,5.5,7.0,6.4,4694,6113,5625,59.4,60.8,60.3
ATGC077,(missing),0,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ATGC078,Pseudomonas chlororaphis/fluorescens/protegens/URMO17WK12/mandelii/MRSN12121/St29/Os17/UW4,16,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[72274] {order} Pseudomonadales,[286] {genus} Pseudomonas,,0.0,0.1,0.0,1.3,0.0,0.2,6.2,7.2,6.8,5376,6377,5941,58.8,64.0,61.8
ATGC079,Pseudomonas mendocina/pseudoalcaligenes,5,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[72274] {order} Pseudomonadales,[136841] {species group} Pseudomonas aeruginosa group,,0.0,0.0,0.0,0.8,0.0,0.8,4.7,5.4,5.1,4124,4960,4541,62.3,64.7,62.8
ATGC080,Pseudomonas brassicacearum/fluorescens/chlororaphis,6,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[72274] {order} Pseudomonadales,[286] {genus} Pseudomonas,,0.0,0.0,0.0,0.7,0.0,0.2,6.4,7.1,6.8,5401,5998,5791,60.5,62.0,61.0
ATGC081,Clostridium botulinum/sporogenes,14,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186802] {order} Clostridiales,[1485] {genus} Clostridium,Clobut,0.0,0.0,0.0,0.4,0.1,0.5,3.8,4.4,4.1,3332,4061,3640,28.0,28.3,28.2
ATGC082,Clostridium perfringens,5,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186802] {order} Clostridiales,[1502] {species} Clostridium perfringens,,0.0,0.0,0.0,0.1,0.1,0.1,3.1,4.1,3.5,2587,3619,2987,27.9,28.5,28.3
ATGC083,Clostridium acetobutylicum,3,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186802] {order} Clostridiales,[1488] {species} Clostridium acetobutylicum,Cloace,0.0,0.0,0.0,0.0,0.3,0.5,4.1,4.1,4.1,3778,3898,3852,30.9,30.9,30.9
ATGC084,Clostridium kluyveri,2,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186802] {order} Clostridiales,[1534] {species} Clostridium kluyveri,,0.0,0.0,0.0,0.0,undetermined,undetermined,4.0,4.0,4.0,3687,3781,3734,32.0,32.0,32.0
ATGC085,(missing),0,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ATGC086,Clostridium BNL1100/cellulolyticum,2,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186802] {order} Clostridiales,[186802] {order} Clostridiales,,0.0,0.0,0.6,0.6,0.1,0.1,4.1,4.6,4.3,3348,3846,3597,37.3,37.4,37.3
ATGC087,(missing),0,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ATGC088,Burkholderia pseudomallei/mallei/thailandensis/oklahomensis/Bp5365/2002721687,78,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[80840] {order} Burkholderiales,[32008] {genus} Burkholderia,,0.0,0.0,0.0,0.5,0.1,1.3,5.2,7.5,6.9,4461,6263,5756,66.9,68.5,68.0
ATGC089,Burkholderia cenocepacia/cepacia/multivorans/ambifaria/vietnamiensis/dolosa/KJ006/pyrrocinia/lata/ubonensis/contaminans,30,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[80840] {order} Burkholderiales,[32008] {genus} Burkholderia,,0.0,0.0,0.0,0.8,0.0,0.5,6.3,8.7,7.6,5546,7696,6567,65.7,67.3,66.8
ATGC090,Burkholderia/Paraburkholderia,4,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[80840] {order} Burkholderiales,[119060] {family} Burkholderiaceae,,0.0,0.0,0.0,0.7,0.0,0.2,7.0,7.7,7.3,5911,6508,6202,62.9,63.4,63.1
